title,author,lenth
Atlas - Die Geschichte von Pa Salt,"Von: Lucinda Riley, Harry Whittaker, Sonja Hauser - Übersetzer, Karin Dufner - Übersetzer, Sibylle Schmidt - Übersetzer, Ursula Wulfekamp - Übersetzer",Spieldauer: 23 Std. und 16 Min.
Elternabend,Von: Sebastian Fitzek,Spieldauer: 5 Std. und 48 Min.
Über die Psychologie des Geldes,Von: Morgan Housel,Spieldauer: 6 Std. und 37 Min.
Liebste Tochter,"Von: Claire Douglas, Ivana Marinović - Übersetzer",Spieldauer: 12 Std. und 56 Min.
War and Queens,Von: Jennifer L. Armentrout,Spieldauer: 27 Std. und 26 Min.
Am Faden des Spielers,Von: Alexander Hartung,Spieldauer: 7 Std. und 38 Min.
Der Stillmacher,Von: Chris Karlden,Spieldauer: 7 Std. und 10 Min.
Blutnacht,"Von: Thomas Enger, Jørn Lier Horst, Günther Frauenlob - Übersetzer, Maike Dörries - Übersetzer",Spieldauer: 9 Std. und 36 Min.
The Lion: Son of the Forest,Von: Mike Brooks,Spieldauer: 12 Std. und 15 Min.
Die Ehre Roms,Von: Simon Scarrow,Spieldauer: 12 Std. und 29 Min.
Das Leben schwer nehmen ist einfach zu anstrengend - Vorwort von Lars Amend,"Von: Susan Sideropoulos, Lars Amend",Spieldauer: 5 Std. und 14 Min.
"Pech im Spiel, Glück in der Liebe",Von: Poppy J. Anderson,Spieldauer: 9 Std. und 39 Min.
Die spürst du nicht,Von: Daniel Glattauer,Spieldauer: 8 Std. und 46 Min.
Die schlafenden Geister des Lake Superior,Von: Ben Aaronovitch,Spieldauer: 5 Std. und 11 Min.
Liebe oder Eierlikör - Fast eine Romanze,Von: Dora Heldt,Spieldauer: 7 Std. und 46 Min.
Elenium - Die Rose aus Saphir,Von: David Eddings,Spieldauer: 19 Std. und 43 Min.
Der Paria,"Von: Anthony Ryan, Sara Riffel - Übersetzer",Spieldauer: 24 Std. und 14 Min.
Bruder gegen Bruder - Die Til-Nara-Front 2,Von: Stefan Burban,Spieldauer: 11 Std. und 11 Min.
Der Arulanische Zirkel,Von: Cliff Allister,Spieldauer: 8 Std. und 4 Min.
Imperium Secundus - Ein Licht im Dunkel,Von: Dan Abnett,Spieldauer: 12 Std. und 20 Min.
